idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
333652,38.3,-40,60.9,17,42.5,49,35.7,41.4,1,23.2803,72.5306,12,2.962619e+01,-85.1465,6.10952
205518,39.3,-37,59.9,17,42.5,48,37.7,39.4,1,24.526,79.9433,15,3.531560e+01,-85.2435,6.11121
224881,37.3,-39,59.9,17,43.5,49,38.7,39.4,1,24.0269,74.6182,17,3.296545e+01,-84.164,6.11184
299881,37.3,-39,59.9,17,43.5,48,38.7,40.4,1,23.9092,74.7665,16,3.175006e+01,-84.2802,6.115
195513,39.3,-38,59.9,17,41.5,50,36.7,39.4,1,23.6268,76.7821,9,2.761822e+01,-85.4599,6.11586
224268,39.3,-37,59.9,17,42.5,49,38.7,39.4,1,24.0176,80.0389,13,3.069049e+01,-85.5189,6.11637
67267,38.3,-37,59.9,16,41.5,49,38.7,37.4,1,22.8848,74.2582,11,2.962917e+01,-85.3591,6.11933
298695,41.3,-37,61.9,17,41.5,48,38.7,40.4,1,22.7232,81.8505,13,3.180797e+01,-87.3008,6.12005
179252,38.3,-40,59.9,17,40.5,50,35.7,39.4,1,22.9597,72.0614,8,2.721992e+01,-84.778,6.12265
251657,38.3,-39,60.9,16,41.5,48,35.7,40.4,1,22.4709,69.8625,12,2.944428e+01,-85.6653,6.12409
284174,40.3,-36,60.9,16,43.5,48,37.7,40.4,1,22.3163,78.4118,16,3.755665e+01,-86.9408,6.12411
340445,41.3,-37,61.9,16,43.5,51,35.7,41.4,1,22.3508,75.9547,11,2.769319e+01,-88.0033,6.12438
71131,37.3,-39,59.9,17,42.5,50,38.7,37.4,1,24.7271,74.2605,17,3.905684e+01,-83.9196,6.12642
113626,37.3,-40,59.9,17,40.5,49,36.7,38.4,1,23.6934,71.5479,9,3.019163e+01,-83.968,6.12721
191769,40.3,-37,59.9,17,40.5,49,36.7,39.4,1,23.616,79.4967,8,2.900617e+01,-86.0301,6.12778
224767,38.3,-37,59.9,16,43.5,49,38.7,39.4,1,22.8243,74.7344,16,3.365657e+01,-85.529,6.13066
50381,37.3,-39,59.9,16,39.5,49,37.7,37.4,1,22.6318,68.9269,11,2.508225e+01,-84.7686,6.13127
339304,40.3,-40,61.9,17,41.5,51,35.7,41.4,1,22.6976,73.8052,8,2.737693e+01,-86.8458,6.13483
348678,39.3,-40,61.9,17,41.5,49,36.7,41.4,1,23.1413,73.4165,11,2.579109e+01,-86.1547,6.13589
381195,41.3,-37,61.9,17,43.5,49,38.7,41.4,1,22.3616,82.136,17,3.249375e+01,-87.3923,6.13714
303038,39.3,-38,60.9,17,43.5,49,38.7,40.4,1,23.311,78.2888,16,3.562217e+01,-85.7892,6.14047
206803,39.3,-40,61.9,17,39.5,49,37.7,39.4,1,23.1008,73.1947,11,2.629503e+01,-86.0337,6.14471
227419,40.3,-37,60.9,17,42.5,50,38.7,39.4,1,23.466,80.7937,12,3.148395e+01,-86.3803,6.14617
152918,39.3,-37,60.9,16,43.5,51,38.7,38.4,1,22.4354,75.2859,13,3.324376e+01,-86.3121,6.14729
224288,39.3,-38,60.9,17,42.5,49,38.7,39.4,1,23.8306,78.074,17,3.730294e+01,-85.6699,6.15532
149787,38.3,-38,60.9,16,43.5,50,38.7,38.4,1,22.7628,72.684,15,3.653793e+01,-85.5439,6.15712
362399,40.3,-36,59.9,17,43.5,48,37.7,41.4,1,24.2016,83.2273,13,2.727694e+01,-86.1917,6.15713
299767,38.3,-37,59.9,16,43.5,48,38.7,40.4,1,22.8365,74.8967,16,3.252056e+01,-85.6185,6.15778
74262,38.3,-38,59.9,17,42.5,51,38.7,37.4,1,24.4624,76.8164,12,3.428194e+01,-84.6379,6.16108
199157,38.3,-39,60.9,16,42.5,51,36.7,39.4,1,22.6301,69.8448,11,2.516439e+01,-85.7426,6.16189
287399,40.3,-36,59.9,17,43.5,49,37.7,40.4,1,24.474,83.0175,13,3.206062e+01,-86.0293,6.16195
67287,38.3,-38,60.9,16,41.5,49,38.7,37.4,1,22.9452,72.4175,13,3.564109e+01,-85.4724,6.16289
378064,40.3,-38,61.9,17,43.5,48,38.7,41.4,1,22.8766,79.3759,14,4.013793e+01,-86.6743,6.16387
184131,37.3,-39,59.9,16,43.5,51,35.7,39.4,1,22.9047,69.0492,11,2.501139e+01,-84.6999,6.16558
279330,41.3,-40,62.9,17,40.5,52,36.7,40.4,1,22.4889,74.557,8,2.796591e+01,-87.7588,6.16854
221656,37.3,-39,60.9,16,43.5,48,38.7,39.4,1,23.2055,70.5414,15,2.915345e+01,-84.856,6.1697
344934,40.3,-39,61.9,17,40.5,48,36.7,41.4,1,23.3513,75.97,11,2.698811e+01,-86.7733,6.17293
262288,39.3,-38,60.9,16,43.5,51,35.7,40.4,1,22.7287,72.4203,11,2.633885e+01,-86.36,6.17305
262302,38.3,-40,61.9,16,43.5,51,35.7,40.4,1,22.4202,68.2053,12,2.870503e+01,-85.8402,6.17323
329908,39.3,-39,60.9,17,41.5,48,35.7,41.4,1,23.6275,75.0558,10,2.684187e+01,-85.7312,6.17338
329828,39.3,-40,62.9,16,41.5,48,35.7,41.4,1,22.4482,68.9827,12,2.916499e+01,-86.7722,6.17432
220424,40.3,-36,60.9,16,41.5,48,38.7,39.4,1,22.4183,78.1966,10,2.659180e+01,-87.0881,6.1746
214277,38.3,-40,60.9,17,41.5,51,37.7,39.4,1,23.5758,72.4342,11,2.546053e+01,-85.2134,6.17501
119278,39.3,-40,60.9,17,39.5,51,36.7,38.4,1,22.8592,72.8082,8,2.784794e+01,-85.6884,6.1767
146017,38.3,-37,59.9,16,42.5,49,38.7,38.4,1,23.2965,74.5013,13,3.255932e+01,-85.4247,6.1769
142906,37.3,-39,60.9,16,42.5,48,38.7,38.4,1,23.3533,70.2248,15,3.422928e+01,-84.7621,6.17778
313633,39.3,-39,59.9,17,40.5,48,34.7,41.4,1,23.1122,74.6178,8,2.816687e+01,-85.4917,6.1779
251751,37.3,-40,59.9,17,41.5,48,35.7,40.4,1,23.8072,71.5925,10,2.952325e+01,-84.0942,6.17826
318512,38.3,-38,59.9,16,43.5,49,34.7,41.4,1,23.0097,71.6076,11,2.581430e+01,-85.4772,6.1819
134148,39.3,-36,59.9,16,43.5,50,37.7,38.4,1,23.6549,77.1326,11,3.086425e+01,-85.8878,6.18206
195427,38.3,-40,61.9,16,41.5,50,36.7,39.4,1,22.3761,68.1638,12,2.874731e+01,-85.8641,6.18351
378038,39.3,-38,60.9,17,43.5,48,38.7,41.4,1,23.312,78.4441,16,3.437801e+01,-85.8972,6.18606
340459,40.3,-39,62.9,16,43.5,51,35.7,41.4,1,22.5545,71.4858,12,3.025560e+01,-87.5044,6.1888
299268,39.3,-37,59.9,17,42.5,48,38.7,40.4,1,24.4047,80.2168,12,2.625485e+01,-85.6143,6.18934
359309,40.3,-39,61.9,17,43.5,52,36.7,41.4,1,23.4322,76.0404,11,2.671438e+01,-86.8424,6.18951
224901,37.3,-40,60.9,17,43.5,49,38.7,39.4,1,24.7048,72.8146,17,3.136590e+01,-84.2546,6.19328
141788,39.3,-38,60.9,17,40.5,48,38.7,38.4,1,24.1818,77.7644,12,3.483957e+01,-85.5477,6.19522
138684,40.3,-39,61.9,17,40.5,52,37.7,38.4,1,22.6558,75.6348,9,2.777307e+01,-86.6338,6.19569
135533,39.3,-39,60.9,17,40.5,51,37.7,38.4,1,23.4358,74.8704,9,2.706136e+01,-85.7456,6.19626
281152,38.3,-40,60.9,17,43.5,52,36.7,40.4,1,23.6877,72.5119,11,2.537906e+01,-85.1893,6.19725
187939,40.3,-38,61.9,16,39.5,48,36.7,39.4,1,22.4214,73.1227,11,2.716254e+01,-87.2096,6.19855
127267,38.3,-37,59.9,16,42.5,48,37.7,38.4,1,23.9162,74.4009,16,3.966970e+01,-85.1828,6.19859
227439,40.3,-38,61.9,17,42.5,50,38.7,39.4,1,23.4587,78.8223,15,3.808984e+01,-86.5231,6.20012
266777,38.3,-40,60.9,17,40.5,48,36.7,40.4,1,23.6809,72.4316,12,2.564974e+01,-85.1081,6.20118
