score,ok,streak,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
64.83869203496889,True,18.541567777953823,46.297124257015064,13.269325074120164,49.37424342069318,41.20613699458674,55.695476385938406,42.03240997166855,37.707254359499544,62.04472612116515,38.162125150031564,40.80186013487592,47.68583644187272,67.53613881751134,-37.600531419385845,-4.374336420569601
64.26562769725534,True,25.660199892879035,38.605427804376305,14.583143387165018,49.68676089183988,39.69998831919505,54.56470878508741,41.60745796965761,37.59017245797263,61.733142090474345,38.69381776341777,41.38438579142038,47.29304288439853,64.55261724906816,-38.939198340998395,-5.566962488025164
64.1708525611931,True,23.18676093659738,40.98409162459571,15.150617984104992,51.08372601424035,41.55021077819035,54.443817430257575,39.483151877429634,40.13899346747225,60.6773048613853,34.9254319390946,40.098640214422126,49.9090045110699,67.1055508897019,-36.27052053838741,-5.322747798298266
63.77664294355389,True,26.885898369403158,36.89074457415073,14.848833552720984,50.319992594640084,42.181039465962286,56.295241576666655,39.16029755894346,40.66687850708102,63.385379272997554,35.44876693520154,38.14034956330718,50.48811727709133,66.11621149359101,-36.51353682060812,-9.37467736501101
63.76557462770581,True,23.363119274723395,40.402455352982415,16.078737766190834,49.16606718865218,39.251798034371035,56.787174803077846,39.52931225403987,41.089794847953925,62.97868812489144,36.34676691826298,38.771169914476886,49.58420490583254,65.00522565502371,-37.62657097977831,-7.0125456771204995
62.974049161323705,True,26.543112004900834,36.43093715642287,14.969361510816848,52.44144531729779,43.08799909277318,57.27507534249821,39.56322140642619,41.23757873071021,63.56402731869023,35.821066492732754,38.28837113231925,48.306660745389635,64.41659268515514,-36.80292032888008,-7.886719693551826
62.33869154202485,True,29.264812146093387,33.07387939593146,15.14150963729082,51.099889207228365,43.182083799588845,57.29127083564928,41.04334908507472,37.049125144057726,60.95232994314084,35.529366819884984,38.20019813770422,49.648907198857394,65.80190860560015,-38.74498960504873,-8.607270304570688
62.24579016523249,True,26.44318719758293,35.80260296764956,16.523456694745757,52.01708096993817,40.97810835495554,54.43098732942892,41.93497981855923,40.11415970034948,62.3467110629038,38.64893225452602,40.01590527084293,47.03129242860863,66.96841654046185,-38.80248499120009,-7.1464451401356905
62.091106697966886,True,25.603146939975424,36.48795975799146,15.641446527117887,50.07911345281187,41.182897699454585,55.40801127212592,41.82348262968035,39.514441712902375,61.117292091892686,36.67079000811861,42.036923412804526,47.03160893401514,64.81912297905113,-37.88883305757042,-5.1181976334195785
61.643180711439115,True,24.61913222076122,37.0240484906779,14.046579073042768,51.894894337261235,41.48481290614809,55.79009356997451,41.797241866507854,38.87710341413977,63.104592349607096,37.10832529737055,37.71570802422187,48.90981319532091,66.98936511815955,-37.81810241062145,-8.515154287141623
61.397424067093546,True,41.511644529605725,19.88577953748782,16.026790092805555,50.72210150634634,41.75487559238639,54.07186119620063,41.35699992113617,38.73266998900172,60.438928695043806,39.294652177080174,39.34120853265005,49.25000001666024,64.87885838576359,-37.21184890001738,-9.040896655121394
60.33719189542975,True,30.69382033414177,29.643371561287978,16.463779195680033,51.03797318090503,42.9687558822009,57.08406956959384,40.16107881043823,37.435889770556,61.144492373155636,36.227181100946225,37.94259928406824,50.90518136394877,67.21733036543942,-39.88420736271926,-8.528946212673766
60.16400200896654,True,30.805768463005045,29.358233545961497,15.622036042074956,49.208584515788914,42.09139235699024,56.27646810006955,40.617783300987945,40.33950859843099,61.69562102798025,37.89661703354264,39.657967133611194,49.541193276242375,66.19808711776759,-36.54301250067434,-7.291130372400913
59.82637774073996,True,16.28448344801467,43.54189429272529,16.252739135259205,51.18046559997889,42.815835891577855,56.755098688517926,40.841657761110305,39.40557335893669,62.48409928293395,36.393625465288416,38.847312385387134,47.450390675928176,64.92105169150739,-39.1432293551644,-6.009326929862612
59.66895839243257,True,21.400101939104353,38.26885645332822,15.554497199552168,48.931853463485616,41.8348823697135,56.46096941909417,41.631296077492905,37.46723727561419,60.62158615440027,36.306228694459584,38.25005148224628,47.13270582359733,67.69373428821312,-38.22795132000685,-8.39070369891867
59.63610623178443,True,27.557548883467234,32.0785573483172,16.435181216053568,52.36189492495231,40.080329585549606,56.53279687522702,40.75269162579303,39.23399001553278,61.64229797201558,37.624104857220495,37.9735821521969,50.406852640077325,67.02292407556241,-39.6533484077773,-6.273475263988912
