score,ok,streak,height,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
36.358980161119625,True,15.011696555629563,21.347283605490063,16.182606997390437,50.606147254220815,40.70738805844306,57.01650684773651,39.83164193819334,39.45979031662205,60.700307941863365,36.30920382294848,39.89985550389794,48.81291442130686,66.75376885973104,-39.277596596452696,-9.725586711530568
36.10898988783238,True,13.785862592231563,22.323127295600813,15.622036042074956,48.708584515788914,42.59139235699024,55.77646810006955,41.117783300987945,40.33950859843099,61.69562102798025,38.39661703354264,39.657967133611194,49.541193276242375,66.19808711776759,-36.54301250067434,-7.291130372400913
36.05505317432768,True,5.543460364729583,30.5115928095981,15.554497199552168,49.431853463485616,41.3348823697135,56.46096941909417,41.631296077492905,37.96723727561419,60.62158615440027,36.306228694459584,38.75005148224628,47.63270582359733,67.69373428821312,-38.22795132000685,-8.39070369891867
35.9121166939038,True,8.537657298189274,27.374459395714524,14.969361510816848,51.94144531729779,43.08799909277318,57.27507534249821,40.06322140642619,41.23757873071021,63.56402731869023,35.821066492732754,38.28837113231925,49.306660745389635,63.91659268515514,-36.80292032888008,-7.886719693551826
35.83823230400421,True,5.9318183506463384,29.90641395335787,14.864220449746647,49.62605020763686,41.64369819636009,57.65853888900091,38.93054490244142,38.53323087285001,60.96003170765883,35.17965422542158,38.030461508262064,49.74421937180206,67.0055467517586,-37.212488067051694,-9.638680767565347
35.67958470775013,True,16.97393211714344,18.70565259060669,13.878809380163512,51.63628061667008,40.85661199455665,56.20840053121608,41.4698685382366,39.927832545890425,60.42463426837842,35.873576167911146,40.24554074377928,50.83921347310725,67.03232298318139,-37.30757082544267,-6.861661471120847
35.60135882253611,True,8.267522595332764,27.33383622720335,15.070970803957179,50.94770216058558,39.77446868774824,54.1606634303806,39.237975148145516,40.6190592097972,63.560035895792616,36.09238099299297,41.25315066026195,48.10603139478849,66.12545363196901,-39.22189922765615,-6.081144636751519
35.35798146293536,True,7.023948488072612,28.33403297486275,14.184088714841753,49.8571094289446,39.89923566023047,54.49880723578156,38.257778079874775,38.46226870895072,63.10638441076179,35.95082842785106,40.3541607831687,47.37999388132232,66.73281601936496,-39.81644365162634,-6.392005099702047
35.121585421555864,True,30.09500849186986,5.0265769296860014,14.201573015373098,50.92315744782511,41.80513478462535,54.11390958369141,38.32369083529328,40.38360601468055,61.29172082781173,37.968566800186174,39.06608685047168,50.471324387804884,67.17914605648488,-39.09312931455139,-7.188883267358596
35.05546053090695,True,13.681655671355948,21.373804859551,14.934013662909724,49.435182155383224,40.375276469036116,55.75056859349459,38.35144464565388,38.77774074178989,60.071233763354584,35.527096298870006,41.03090437029184,48.44500545823851,65.57869691604084,-38.18142620082045,-9.614250169995287
